,word count,journal count
reproduc,302,118
data.?avail,317,149
data.?shar,290,111
publication eth,347,108
replic,311,89
data.?deposit,152,76
reporting.?guidelin,95,63
data.?repositori,62,55
hack,108,54
raw.?data,55,43
open.?sci,119,27
reporting.?standard,32,21
availability of data,33,21
pre.?regist,317,112
open.?data,28,16
code.?avail,21,11
publicly accessible data,10,10
publication.?bia,1,1
archiving of data,1,1
